datetime,total_load_mw,forecast_total_load_mw,bidding_zone
2026-06-30 16:00:00,31424.522,32644.044,North
2026-06-30 16:00:00,9450.143,9816.884,Centre-South
2026-06-30 16:00:00,4729.821,4913.376,Centre-North
2026-06-30 16:00:00,1268.44,1317.665,Calabria
2026-06-30 16:00:00,55066.0,57203.0,Italy
2026-06-30 15:45:00,1255.478,1303.936,Calabria
2026-06-30 15:45:00,4710.936,4892.763,Centre-North
2026-06-30 15:45:00,9617.195,9988.389,Centre-South
2026-06-30 15:45:00,31298.063,32506.071,North
2026-06-30 15:45:00,1429.878,1485.066,Sardinia
2026-06-30 15:45:00,3219.574,3343.839,Sicily
2026-06-30 15:45:00,3602.876,3741.936,South
2026-06-30 15:45:00,55134.0,57262.0,Italy
2026-06-30 15:30:00,55357.0,57449.001,Italy
2026-06-30 15:30:00,1223.237,1269.464,Calabria
2026-06-30 15:30:00,4720.562,4898.957,Centre-North
2026-06-30 15:30:00,9710.881,10077.866,Centre-South
2026-06-30 15:30:00,31448.316,32636.782,North
2026-06-30 15:30:00,1497.206,1553.787,Sardinia
2026-06-30 15:30:00,3547.889,3681.968,South
2026-06-30 15:30:00,3208.909,3330.177,Sicily
2026-06-30 15:15:00,3581.617,3725.46,South
2026-06-30 15:15:00,3212.48,3341.499,Sicily
2026-06-30 15:15:00,1501.803,1562.118,Sardinia
2026-06-30 15:15:00,31363.769,32623.39,North
2026-06-30 15:15:00,9713.591,10103.705,Centre-South
2026-06-30 15:15:00,4620.594,4806.165,Centre-North
2026-06-30 15:15:00,1183.147,1230.664,Calabria
2026-06-30 15:15:00,55177.001,57393.001,Italy
2026-06-30 15:00:00,3525.139,3664.811,South
2026-06-30 15:00:00,3225.311,3353.103,Sicily
2026-06-30 15:00:00,1467.007,1525.132,Sardinia
2026-06-30 15:00:00,31147.557,32381.672,North
2026-06-30 15:00:00,9890.849,10282.74,Centre-South
2026-06-30 15:00:00,4663.513,4848.289,Centre-North
2026-06-30 15:00:00,1151.623,1197.253,Calabria
2026-06-30 15:00:00,55070.999,57253.0,Italy
2026-06-30 14:45:00,1178.587,1226.951,Calabria
2026-06-30 14:45:00,4660.909,4852.175,Centre-North
2026-06-30 14:45:00,9915.077,10321.955,Centre-South
2026-06-30 14:45:00,30835.913,32101.301,North
2026-06-30 14:45:00,1542.023,1605.302,Sardinia
2026-06-30 14:45:00,3232.902,3365.568,Sicily
2026-06-30 14:45:00,3488.589,3631.748,South
2026-06-30 14:45:00,54854.0,57105.0,Italy
2026-06-30 14:30:00,55068.001,57127.0,Italy
2026-06-30 14:30:00,1246.307,1292.907,Calabria
2026-06-30 14:30:00,4667.922,4842.456,Centre-North
2026-06-30 14:30:00,9803.88,10170.449,Centre-South
2026-06-30 14:30:00,31037.317,32197.806,North
2026-06-30 14:30:00,1566.649,1625.226,Sardinia
2026-06-30 14:30:00,3469.141,3598.852,South
2026-06-30 14:30:00,3276.785,3399.304,Sicily
2026-06-30 14:15:00,3442.458,3581.529,South
2026-06-30 14:15:00,3284.123,3416.798,Sicily
2026-06-30 14:15:00,1577.341,1641.064,Sardinia
2026-06-30 14:15:00,31161.501,32420.392,North
2026-06-30 14:15:00,9753.273,10147.295,Centre-South
2026-06-30 14:15:00,4631.792,4818.911,Centre-North
2026-06-30 14:15:00,1299.512,1352.011,Calabria
2026-06-30 14:15:00,55150.0,57378.0,Italy
2026-06-30 14:00:00,3442.499,3568.571,South
2026-06-30 14:00:00,3293.102,3413.702,Sicily
2026-06-30 14:00:00,1569.558,1627.039,Sardinia
2026-06-30 14:00:00,31141.638,32282.111,North
2026-06-30 14:00:00,9748.448,10105.457,Centre-South
2026-06-30 14:00:00,4580.158,4747.894,Centre-North
2026-06-30 14:00:00,1300.596,1348.226,Calabria
2026-06-30 14:00:00,55075.999,57093.0,Italy
2026-06-30 13:45:00,1368.655,1420.92,Calabria
2026-06-30 13:45:00,4548.504,4722.198,Centre-North
2026-06-30 13:45:00,9711.319,10082.166,Centre-South
2026-06-30 13:45:00,31107.568,32295.477,North
2026-06-30 13:45:00,1557.21,1616.675,Sardinia
2026-06-30 13:45:00,3229.492,3352.817,Sicily
2026-06-30 13:45:00,3417.251,3547.746,South
2026-06-30 13:45:00,54939.999,57037.999,Italy
2026-06-30 13:30:00,54732.0,57178.0,Italy
2026-06-30 13:30:00,1432.724,1496.753,Calabria
2026-06-30 13:30:00,4526.93,4729.241,Centre-North
2026-06-30 13:30:00,9776.608,10213.529,Centre-South
2026-06-30 13:30:00,30805.613,32182.331,North
2026-06-30 13:30:00,1562.307,1632.127,Sardinia
2026-06-30 13:30:00,3365.274,3515.67,South
2026-06-30 13:30:00,3262.544,3408.349,Sicily
2026-06-30 13:15:00,3383.48,3522.546,South
2026-06-30 13:15:00,3257.892,3391.796,Sicily
2026-06-30 13:15:00,1570.219,1634.757,Sardinia
2026-06-30 13:15:00,30660.447,31920.635,North
2026-06-30 13:15:00,9745.109,10145.646,Centre-South
2026-06-30 13:15:00,4551.424,4738.494,Centre-North
2026-06-30 13:15:00,1452.429,1512.126,Calabria
2026-06-30 13:15:00,54621.0,56866.0,Italy
2026-06-30 13:00:00,3345.937,3483.315,South
2026-06-30 13:00:00,3330.392,3467.132,Sicily
2026-06-30 13:00:00,1563.411,1627.601,Sardinia
2026-06-30 13:00:00,30173.961,31412.85,North
2026-06-30 13:00:00,9737.355,10137.153,Centre-South
2026-06-30 13:00:00,4537.174,4723.463,Centre-North
2026-06-30 13:00:00,1478.77,1539.486,Calabria
2026-06-30 13:00:00,54167.0,56391.0,Italy
2026-06-30 12:45:00,1488.453,1551.059,Calabria
2026-06-30 12:45:00,4561.84,4753.716,Centre-North
2026-06-30 12:45:00,9727.013,10136.141,Centre-South
2026-06-30 12:45:00,29954.353,31214.263,North
2026-06-30 12:45:00,1537.651,1602.326,Sardinia
2026-06-30 12:45:00,3402.379,3545.487,Sicily
2026-06-30 12:45:00,3321.311,3461.009,South
2026-06-30 12:45:00,53993.0,56264.001,Italy
2026-06-30 12:30:00,53879.0,56120.0,Italy
2026-06-30 12:30:00,1496.403,1558.643,Calabria
2026-06-30 12:30:00,4592.884,4783.916,Centre-North
2026-06-30 12:30:00,9675.915,10078.368,Centre-South
2026-06-30 12:30:00,29793.459,31032.665,North
2026-06-30 12:30:00,1528.433,1592.005,Sardinia
2026-06-30 12:30:00,3289.631,3426.458,South
2026-06-30 12:30:00,3502.275,3647.945,Sicily
2026-06-30 12:15:00,3197.295,3337.119,South
2026-06-30 12:15:00,3328.099,3473.643,Sicily
2026-06-30 12:15:00,1488.949,1554.064,Sardinia
2026-06-30 12:15:00,30269.69,31593.442,North
2026-06-30 12:15:00,9403.854,9815.102,Centre-South
2026-06-30 12:15:00,4523.169,4720.975,Centre-North
2026-06-30 12:15:00,1433.945,1496.654,Calabria
2026-06-30 12:15:00,53645.001,55990.999,Italy
2026-06-30 12:00:00,3152.48,3270.238,South
2026-06-30 12:00:00,3336.361,3460.987,Sicily
2026-06-30 12:00:00,1472.457,1527.459,Sardinia
2026-06-30 12:00:00,30844.745,31996.917,North
2026-06-30 12:00:00,9412.941,9764.551,Centre-South
2026-06-30 12:00:00,4609.084,4781.251,Centre-North
2026-06-30 12:00:00,1409.931,1462.598,Calabria
2026-06-30 12:00:00,54237.999,56264.001,Italy
2026-06-30 11:45:00,1419.247,1461.065,Calabria
2026-06-30 11:45:00,4651.975,4789.042,Centre-North
2026-06-30 11:45:00,9469.578,9748.594,Centre-South
2026-06-30 11:45:00,31129.989,32047.217,North
2026-06-30 11:45:00,1472.693,1516.085,Sardinia
2026-06-30 11:45:00,3401.019,3501.229,Sicily
2026-06-30 11:45:00,3165.498,3258.768,South
2026-06-30 11:45:00,54709.999,56322.0,Italy
2026-06-30 11:30:00,54381.001,56117.0,Italy
2026-06-30 11:30:00,1394.839,1439.366,Calabria
2026-06-30 11:30:00,4637.68,4785.728,Centre-North
2026-06-30 11:30:00,9394.259,9694.151,Centre-South
2026-06-30 11:30:00,30940.281,31927.985,North
2026-06-30 11:30:00,1472.956,1519.977,Sardinia
2026-06-30 11:30:00,3186.899,3288.634,South
2026-06-30 11:30:00,3354.087,3461.159,Sicily
2026-06-30 11:15:00,3160.142,3272.185,South
2026-06-30 11:15:00,3268.718,3384.609,Sicily
2026-06-30 11:15:00,1438.967,1489.985,Sardinia
2026-06-30 11:15:00,30985.602,32084.191,North
2026-06-30 11:15:00,9179.596,9505.057,Centre-South
2026-06-30 11:15:00,4550.024,4711.344,Centre-North
2026-06-30 11:15:00,1372.951,1421.629,Calabria
2026-06-30 11:15:00,53956.0,55869.0,Italy
2026-06-30 11:00:00,3178.708,3246.235,South
2026-06-30 11:00:00,3262.298,3331.601,Sicily
2026-06-30 11:00:00,1443.052,1473.707,Sardinia
2026-06-30 11:00:00,31259.164,31923.214,North
2026-06-30 11:00:00,9297.275,9494.781,Centre-South
2026-06-30 11:00:00,4572.438,4669.572,Centre-North
2026-06-30 11:00:00,1404.064,1433.891,Calabria
2026-06-30 11:00:00,54416.999,55573.001,Italy
2026-06-30 10:45:00,1423.548,1454.806,Sardinia
2026-06-30 10:45:00,3233.14,3304.133,Sicily
2026-06-30 10:45:00,3296.383,3368.764,South
2026-06-30 10:45:00,31232.115,31917.903,North
2026-06-30 10:45:00,9102.138,9302.001,Centre-South
2026-06-30 10:45:00,4592.052,4692.884,Centre-North
2026-06-30 10:45:00,1406.623,1437.51,Calabria
2026-06-30 10:45:00,54285.999,55478.001,Italy
2026-06-30 10:30:00,9029.39,9223.96,Centre-South
2026-06-30 10:30:00,4610.52,4709.87,Centre-North
2026-06-30 10:30:00,1380.738,1410.491,Calabria
2026-06-30 10:30:00,31173.39,31845.131,North
2026-06-30 10:30:00,54064.001,55229.0,Italy
2026-06-30 10:30:00,3220.989,3290.396,South
2026-06-30 10:30:00,3218.472,3287.825,Sicily
2026-06-30 10:30:00,1430.502,1461.327,Sardinia
2026-06-30 10:15:00,3184.068,3260.57,South
2026-06-30 10:15:00,3235.254,3312.986,Sicily
2026-06-30 10:15:00,1401.7,1435.378,Sardinia
2026-06-30 10:15:00,1396.268,1429.815,Calabria
2026-06-30 10:15:00,4567.517,4677.258,Centre-North
2026-06-30 10:15:00,8954.696,9169.844,Centre-South
2026-06-30 10:15:00,30743.497,31482.15,North
2026-06-30 10:15:00,53483.0,54768.001,Italy
2026-06-30 10:00:00,1453.896,1491.428,Calabria
2026-06-30 10:00:00,4502.549,4618.782,Centre-North
2026-06-30 10:00:00,8696.638,8921.141,Centre-South
2026-06-30 10:00:00,30511.837,31299.5,North
2026-06-30 10:00:00,1383.804,1419.527,Sardinia
2026-06-30 10:00:00,3201.585,3284.233,Sicily
2026-06-30 10:00:00,3164.692,3246.388,South
2026-06-30 10:00:00,52915.001,54280.999,Italy
2026-06-30 09:45:00,8596.986,8796.509,Centre-South
2026-06-30 09:45:00,30487.365,31194.932,North
2026-06-30 09:45:00,1363.899,1395.553,Sardinia
2026-06-30 09:45:00,3165.557,3239.025,Sicily
2026-06-30 09:45:00,3123.05,3195.531,South
2026-06-30 09:45:00,52653.001,53874.998,Italy
2026-06-30 09:45:00,1467.503,1501.561,Calabria
2026-06-30 09:45:00,4448.641,4551.887,Centre-North
2026-06-30 09:30:00,52474.0,53279.0,Italy
2026-06-30 09:30:00,1482.21,1504.949,Calabria
2026-06-30 09:30:00,4464.226,4532.712,Centre-North
2026-06-30 09:30:00,8520.67,8651.385,Centre-South
2026-06-30 09:30:00,30436.939,30903.87,North
2026-06-30 09:30:00,1360.951,1381.829,Sardinia
2026-06-30 09:30:00,3014.597,3060.843,South
2026-06-30 09:30:00,3194.407,3243.412,Sicily
2026-06-30 09:15:00,3092.593,3139.393,South
2026-06-30 09:15:00,3072.718,3119.217,Sicily
2026-06-30 09:15:00,1329.991,1350.117,Sardinia
2026-06-30 09:15:00,30317.021,30775.803,North
2026-06-30 09:15:00,8160.015,8283.499,Centre-South
2026-06-30 09:15:00,4411.324,4478.08,Centre-North
2026-06-30 09:15:00,1424.338,1445.892,Calabria
2026-06-30 09:15:00,51808.0,52592.001,Italy
2026-06-30 09:00:00,3085.278,3125.076,South
2026-06-30 09:00:00,2951.703,2989.777,Sicily
2026-06-30 09:00:00,1306.201,1323.05,Sardinia
2026-06-30 09:00:00,30015.29,30402.463,North
2026-06-30 09:00:00,8008.453,8111.755,Centre-South
2026-06-30 09:00:00,4380.801,4437.31,Centre-North
2026-06-30 09:00:00,1418.274,1436.569,Calabria
2026-06-30 09:00:00,51166.0,51826.0,Italy
2026-06-30 08:45:00,1398.556,1415.615,Calabria
2026-06-30 08:45:00,4304.225,4356.726,Centre-North
2026-06-30 08:45:00,7736.885,7831.256,Centre-South
2026-06-30 08:45:00,29512.218,29872.195,North
2026-06-30 08:45:00,1283.781,1299.44,Sardinia
2026-06-30 08:45:00,2886.751,2921.962,Sicily
2026-06-30 08:45:00,2969.585,3005.806,South
2026-06-30 08:45:00,50092.001,50703.0,Italy
2026-06-30 08:30:00,48850.001,49549.0,Italy
2026-06-30 08:30:00,1319.419,1338.298,Calabria
2026-06-30 08:30:00,4160.447,4219.979,Centre-North
2026-06-30 08:30:00,7424.005,7530.236,Centre-South
2026-06-30 08:30:00,28936.434,29350.489,North
2026-06-30 08:30:00,1252.982,1270.911,Sardinia
2026-06-30 08:30:00,2889.217,2930.559,South
2026-06-30 08:30:00,2867.497,2908.528,Sicily
2026-06-30 08:15:00,2917.405,2950.186,South
2026-06-30 08:15:00,2791.129,2822.491,Sicily
2026-06-30 08:15:00,1260.987,1275.156,Sardinia
2026-06-30 08:15:00,28461.224,28781.027,North
2026-06-30 08:15:00,7295.196,7377.168,Centre-South
2026-06-30 08:15:00,4054.819,4100.381,Centre-North
2026-06-30 08:15:00,1277.239,1291.591,Calabria
2026-06-30 08:15:00,48057.999,48598.0,Italy
